ID_1,4539433765117911
ID_2,4929542736293367
ID_3,4929134375737399
ID_4,4716259708646541
ID_5,4916282668045684
ID_6,4485994895637247
ID_7,4716971894868495
ID_8,4916813828141219
ID_9,4716681543496586
ID_10,4024007146647077
ID_11,4916794789843334
ID_12,4716621939874046
ID_13,4556104683929079
ID_14,4539360206402174
ID_15,4556002264669892
ID_16,4716723834772687
ID_17,4485301743054353
ID_18,4916720843737998
ID_19,4024007182635648
ID_20,4916016358726512
ID_21,4024007176776721
ID_22,4556983687791514
ID_23,4532854682288401
ID_24,4539200121180499
ID_25,4929276591835729
ID_26,4532093225222482
ID_27,4024007179835052
ID_28,4485617213236034
ID_29,4485928642760449
ID_30,4916826806940444
ID_31,4539636856687937
ID_32,4916283621179198
ID_33,4716304703150626
ID_34,4539436149913194
ID_35,4532155571679076
ID_36,4556674228044923
ID_37,4539050842064963
ID_38,4024007121745417
ID_39,4532599118196419
ID_40,4716626147583016
ID_41,4916358825615484
ID_42,4716819690853593
ID_43,4716454104105263
ID_44,4539545937524615
ID_45,4532687294783868
ID_46,4556063988790141
ID_47,4716375844256290
ID_48,4024007187607584
ID_49,4485698566885536
ID_50,4532373722923125
